c04161_NODE_41...region001,ERR3941088_contigs.region009
c00023_NODE_23...region001,ERR2239558_contigs.region004
c00067_NODE_67...region001,ERR2239775_contigs.region001
c00070_NODE_70...region001,ERR2239640_contigs.region003
c00015_NODE_15...region001,ERR2239781_contigs.region001
c00032_NODE_32...region001,ERR2239596_contigs.region003
c00238_NODE_23...region001,ERR2239675_contigs.region002
c00814_NODE_81...region001,ERR2239259_contigs.region010
c00893_NODE_89...region001,ERR2239245_contigs.region002
c00112_NODE_11...region001,ERR2239739_contigs.region003
c01003_NODE_10...region001,ERR2239757_contigs.region001
c05101_NODE_51...region001,ERR3941091_contigs.region004
c05241_NODE_52...region001,ERR3941091_contigs.region005
c06320_NODE_63...region001,ERR3941091_contigs.region006
c00170_NODE_17...region001,ERR2239593_contigs.region003
c00664_NODE_66...region001,ERR2239548_contigs.region003
c00947_NODE_94...region001,ERR3941092_contigs.region007
c00037_NODE_37...region001,ERR2239721_contigs.region003
c00115_NODE_11...region001,ERR2239771_contigs.region001
c00459_NODE_45...region001,ERR2239297_contigs.region004
c00777_NODE_77...region001,ERR3941093_contigs.region007
c01719_NODE_17...region001,ERR3941285_contigs.region007
c02157_NODE_21...region001,ERR3941093_contigs.region009
c02850_NODE_28...region001,ERR2239641_contigs.region011
c02966_NODE_29...region001,ERR3941093_contigs.region011
c03694_NODE_36...region001,ERR3941093_contigs.region012
c08475_NODE_84...region001,ERR3941093_contigs.region013
c00140_NODE_14...region001,ERR3946832_contigs.region002
c00733_NODE_73...region001,ERR3946757_contigs.region002
c01819_NODE_18...region001,ERR2239764_contigs.region010
c02251_NODE_22...region001,ERR3941094_contigs.region004
c02649_NODE_26...region001,ERR3941094_contigs.region005
c02991_NODE_29...region001,ERR3941094_contigs.region006
c03062_NODE_30...region001,ERR3941094_contigs.region007
c03263_NODE_32...region001,ERR3946745_contigs.region012
c00011_NODE_11...region001,ERR2239802_contigs.region001
c00226_NODE_22...region001,ERR2239733_contigs.region003
c00416_NODE_41...region001,ERR2239706_contigs.region013
c01935_NODE_19...region001,ERR2239226_contigs.region013
c02259_NODE_22...region001,ERR3941095_contigs.region005
c02894_NODE_28...region001,ERR3941095_contigs.region006
c00001_NODE_1_...region001,ERR2239772_contigs.region001
c00247_NODE_24...region001,ERR2239707_contigs.region004
c00060_NODE_60...region001,ERR2239690_contigs.region001
c00082_NODE_82...region001,ERR2239698_contigs.region002
c00088_NODE_88...region001,ERR2239516_contigs.region002
c00099_NODE_99...region001,ERR2239511_contigs.region003
c00149_NODE_14...region001,ERR2239641_contigs.region003
c01043_NODE_10...region001,ERR3941097_contigs.region009
c01053_NODE_10...region001,ERR2239246_contigs.region011
c00109_NODE_10...region001,ERR2239755_contigs.region001
c00443_NODE_44...region001,ERR2239668_contigs.region005
c04747_NODE_47...region001,ERR3941098_contigs.region005
c00085_NODE_85...region001,ERR2239780_contigs.region001
c00134_NODE_13...region001,ERR2239735_contigs.region003
c00296_NODE_29...region001,ERR2239601_contigs.region001
c00565_NODE_56...region001,ERR2239502_contigs.region002
c00388_NODE_38...region001,ERR2239523_contigs.region007
c00968_NODE_96...region001,ERR3946762_contigs.region004
c00031_NODE_31...region001,ERR2239640_contigs.region002
c00042_NODE_42...region001,ERR2239722_contigs.region002
c00164_NODE_16...region001,ERR2239266_contigs.region008
c00168_NODE_16...region001,ERR2239795_contigs.region001
c00263_NODE_26...region001,ERR2239234_contigs.region002
c00308_NODE_30...region001,ERR2239561_contigs.region003
c01341_NODE_13...region001,ERR2239645_contigs.region007
c00041_NODE_41...region001,ERR2239674_contigs.region002
c00394_NODE_39...region001,ERR2239604_contigs.region003
c00783_NODE_78...region001,ERR3941301_contigs.region005
c00925_NODE_92...region001,ERR2239735_contigs.region006
c00993_NODE_99...region001,ERR3941103_contigs.region011
c01549_NODE_15...region001,ERR3941103_contigs.region012
c00298_NODE_29...region001,ERR3941389_contigs.region005
c00550_NODE_55...region001,ERR3946873_contigs.region006
c00590_NODE_59...region001,ERR3958127_contigs.region002
c01952_NODE_19...region001,ERR3941104_contigs.region007
c02030_NODE_20...region001,ERR3946743_contigs.region004
c02199_NODE_21...region001,ERR3941104_contigs.region009
c02343_NODE_23...region001,ERR2239240_contigs.region011
c02530_NODE_25...region001,ERR3941104_contigs.region011
c06231_NODE_62...region001,ERR3941104_contigs.region012
c06321_NODE_63...region001,ERR3941308_contigs.region014
c06819_NODE_68...region001,ERR3941104_contigs.region014
c01145_NODE_11...region001,ERR3941105_contigs.region004
c01501_NODE_15...region001,ERR3946765_contigs.region008
c00604_NODE_60...region001,ERR2239640_contigs.region010
c03423_NODE_34...region001,ERR3941106_contigs.region006
c03666_NODE_36...region001,ERR3941106_contigs.region007
c06021_NODE_60...region001,ERR3941106_contigs.region008
c06023_NODE_60...region001,ERR3941106_contigs.region009
c06222_NODE_62...region001,ERR3941106_contigs.region010
c06690_NODE_66...region001,ERR3941106_contigs.region011
c07426_NODE_74...region001,ERR3941106_contigs.region012
c00200_NODE_20...region001,ERR2239268_contigs.region005
c01877_NODE_18...region001,ERR3941107_contigs.region003
c06808_NODE_68...region001,ERR3941107_contigs.region004
c00511_NODE_51...region001,ERR3941108_contigs.region005
c00632_NODE_63...region001,ERR3941343_contigs.region010
c00757_NODE_75...region001,ERR3941108_contigs.region007
c01071_NODE_10...region001,ERR3946877_contigs.region007
c01333_NODE_13...region001,ERR3941108_contigs.region009
c01567_NODE_15...region001,ERR3941108_contigs.region010
c00286_NODE_28...region001,ERR2239265_contigs.region011
c00412_NODE_41...region001,ERR3941291_contigs.region003
c00474_NODE_47...region001,ERR3958072_contigs.region001
c00484_NODE_48...region001,ERR2239532_contigs.region004
c00128_NODE_12...region001,ERR2239565_contigs.region001
c02168_NODE_21...region001,ERR2239551_contigs.region003
c03917_NODE_39...region001,ERR3941110_contigs.region003
c00069_NODE_69...region001,ERR2239764_contigs.region003
c00384_NODE_38...region001,ERR3941176_contigs.region002
c00859_NODE_85...region001,ERR2239523_contigs.region014
c01919_NODE_19...region001,ERR3941111_contigs.region009
c03706_NODE_37...region001,ERR3941111_contigs.region010
c04016_NODE_40...region001,ERR2239505_contigs.region004
c04655_NODE_46...region001,ERR3941111_contigs.region012
c00127_NODE_12...region001,ERR2239659_contigs.region002
c00129_NODE_12...region001,ERR2239511_contigs.region004
c00157_NODE_15...region001,ERR2239720_contigs.region002
c00294_NODE_29...region001,ERR2239522_contigs.region016
c00489_NODE_48...region001,ERR2239673_contigs.region003
